City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
278,Cabo San Lucas,MX,84.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
281,Bonthe,SL,75.63,moderate rain,7.5264,-12.505,Bonthe Holiday Village
283,Kalmunai,LK,82.08,overcast clouds,7.4167,81.8167,VS Villa
284,Matera,IT,74.95,clear sky,40.5,16.4167,Orchidea
288,Phillipsburg,US,71.17,scattered clouds,40.6937,-75.1902,Grand Eastonian Hotel & Suites
289,Lagoa,PT,73.35,scattered clouds,39.05,-27.9833,Casa Das Faias
290,Biga,TR,80.15,clear sky,40.2281,27.2422,Köşdere Otel
296,Biak,ID,81.07,overcast clouds,-0.9131,122.8766,Penginapan Kim
297,Kondinskoye,RU,69.75,clear sky,59.6481,67.41,Gostinitsa
298,Inhuma,BR,69.48,clear sky,-6.6683,-41.7078,Edifício Bezerra
299,Wahiawa,US,75.52,scattered clouds,21.5028,-158.0236,The Inn At Schofield
300,Markova,UA,65.95,broken clouds,48.6758,24.4138,Vas.VOM
302,Vicksburg,US,74.93,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
303,Torbay,CA,67.57,broken clouds,47.6666,-52.7314,Gallows Cove
305,Angoche,MZ,76.15,broken clouds,-16.2325,39.9086,Guest House HESADA
306,Alice Springs,AU,80.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
307,Sapele,NG,72.34,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
308,Bay Roberts,CA,68.32,overcast clouds,47.5999,-53.2648,Stonewall Inn
312,Itarema,BR,77.86,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
314,Dicabisagan,PH,84.38,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
316,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
319,Montepuez,MZ,70.18,clear sky,-13.1256,38.9997,PembaAparthotel
320,Vung Tau,VN,82.71,overcast clouds,10.346,107.0843,Seaside Resort
321,Prainha,BR,71.78,few clouds,-1.8,-53.48,Casa Rocha
323,Columbus,US,74.8,few clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
324,Tinskoy,RU,67.46,overcast clouds,56.1525,96.9161,"Kemping ""Turist"""
326,Tetouan,MA,75.97,overcast clouds,35.5711,-5.3724,Athens Hôtel
327,Peniche,PT,67.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
330,Vanimo,PG,85.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
331,Abalak,RU,68.94,clear sky,58.1286,68.5944,Туристический комплекс Абалак
332,Ughelli,NG,73.17,overcast clouds,5.4899,6.0074,Prestige Hotel
333,Sao Joao Da Barra,BR,69.93,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
334,Hervey Bay,AU,72.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
337,Grants,US,66.43,broken clouds,35.1473,-107.8514,"Motel 6 Grants, NM"
338,Amontada,BR,73.44,scattered clouds,-3.3617,-39.8317,Casa do Otávio
339,Pierre,US,83.32,clear sky,44.3683,-100.351,Ramkota Hotel
341,Hovd,MN,78.49,overcast clouds,48.0056,91.6419,Hotel Khovd
346,Asau,RO,65.32,broken clouds,46.4333,26.4,Casa Mika Ciobanus
347,Flinders,AU,70.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
348,Tianpeng,CN,84.67,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
349,Bafoulabe,ML,73.09,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
350,Weligama,LK,80.37,overcast clouds,5.9667,80.4167,Weligama Bay Resort
354,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
355,Isangel,VU,77.05,broken clouds,-19.55,169.2667,Tanna Lodge
356,Karratha,AU,80.24,broken clouds,-20.7377,116.8463,ibis Styles Karratha
361,Hambantota,LK,82.74,broken clouds,6.1241,81.1185,Bungalow 63
362,Polignano A Mare,IT,79.2,clear sky,40.9959,17.2159,Grotta Palazzese
364,Yar-Sale,RU,66.63,scattered clouds,66.8333,70.8333,Yalemd
366,Zadar,HR,74.01,clear sky,44.1197,15.2422,Hotel Kolovare
368,Mandalgovi,MN,78.69,clear sky,45.7625,106.2708,В.Ганбат
370,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
371,Medicine Hat,CA,77.43,clear sky,50.0501,-110.6683,Ramada Limited Medicine Hat
373,Bocanda,CI,69.17,overcast clouds,7.0626,-4.4995,Résidence Hôtel
376,Porto Nacional,BR,71.6,clear sky,-10.7081,-48.4172,Vila Real Hotel
380,Tautira,PF,76.32,light rain,-17.7333,-149.15,Pension Oaoa
382,Pokhara,NP,73.13,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
383,Cacalchen,MX,78.98,scattered clouds,20.9833,-89.2333,Lucy alvarez ake
384,Cairns,AU,84.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
385,Teguise,ES,70.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
390,Mumford,GH,71.94,broken clouds,5.2618,-0.759,Spanish Villa
391,Agadir,MA,68.45,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
399,Lompoc,US,72.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
400,Ambanja,MG,75.13,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
401,Orlik,RU,67.64,overcast clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
403,Saint-Leu,RE,75.31,clear sky,-21.15,55.2833,La Caz Oceane
404,Rawicz,PL,66.92,broken clouds,51.6095,16.8585,U Kubusia. Reślińska I.
410,Tashla,RU,76.42,clear sky,51.7716,52.7427,Torch Hotel
411,Sabha,LY,82.85,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
412,Anloga,GH,73.2,broken clouds,5.7947,0.8973,Pin Drop Hotel
415,Morehead,US,73.85,clear sky,37.2711,-87.1764,CCI Express Inn
416,Luang Prabang,LA,85.87,scattered clouds,19.8856,102.1347,The Apsara
420,Nanakuli,US,78.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
421,Kavieng,PG,82.38,light rain,-2.5744,150.7967,Nusa Island Retreat
422,Tokmak,UA,73.9,few clouds,47.2514,35.7058,Дом приезжих
428,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
430,Marawi,PH,76.15,overcast clouds,7.9986,124.2928,Derogongan Residence
431,Kupang,ID,85.78,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
433,San Jose,US,76.28,few clouds,37.3394,-121.895,The Westin San Jose
434,Waddan,LY,78.57,clear sky,29.1614,16.139,محل الشريف محمد العايب
435,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
437,Sestri Levante,IT,78.71,broken clouds,44.2732,9.3968,Grande Albergo
438,Balsas,BR,72.48,few clouds,-7.5325,-46.0356,Novo Hotel
441,Tommot,RU,78.51,light rain,58.9564,126.2925,Gostinitsa Tommot
444,Muncar,ID,83.3,broken clouds,-8.4333,114.3333,Zaky Homestay
447,Skala Fourkas,GR,80.55,clear sky,39.9998,23.3841,Idea Holiday
449,Takestan,IR,80.73,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
452,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
453,Goderich,CA,68.92,broken clouds,43.7501,-81.7165,Harmony Inn
455,Issaquah,US,68.58,clear sky,47.5301,-122.0326,Hilton Garden Inn Seattle/Issaquah
456,Oriximina,BR,72.55,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
457,Ambilobe,MG,80.49,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
462,Kerch,UA,77.74,clear sky,45.3583,36.4758,Khostel
464,La Ronge,CA,66.45,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
466,Victoria Point,AU,73.35,few clouds,-27.5833,153.3,Bay Retreat Motel
468,Puerto Suarez,BO,70.48,clear sky,-18.95,-57.8,Hotel casa real
469,Garowe,SO,82.18,clear sky,8.4054,48.4845,Curubo Hotel
473,Skeldon,GY,74.79,broken clouds,5.8833,-57.1333,Classic International Hotel & Suites
477,Winchester,GB,66.69,overcast clouds,51.0651,-1.3187,Lainston House
478,Alyangula,AU,79.54,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
480,Granadilla De Abona,ES,80.98,clear sky,28.1188,-16.576,Hotel Rural Senderos De Abona
482,Matara,LK,80.92,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
485,Sao Jose Da Coroa Grande,BR,73.22,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
487,Mazagao,BR,78.85,light rain,-0.115,-51.2894,Recanto dos Ferreiras
488,Laguna,US,77.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
489,Khandbari,NP,71.6,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
490,Chany,RU,69.51,overcast clouds,55.3121,76.7647,Sakura
491,Bend,US,74.48,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
493,Inirida,CO,72.05,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
494,Osmena,PH,83.7,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
495,Solnechnyy,RU,75.94,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
499,Havelock,US,85.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
502,Saskatoon,CA,67.98,broken clouds,52.1168,-106.6345,Sheraton Cavalier Saskatoon Hotel
503,Mlimba,TZ,74.55,light rain,-8.8,35.8167,California Lodge
504,Balykshi,KZ,84.2,clear sky,47.0667,51.8667,Гостиница Golden Rose
505,Waterfoot,GB,65.97,overcast clouds,53.6929,-2.2525,Chapel House Bed & Breakfast
506,Veere,NL,65.01,overcast clouds,51.5483,3.6667,Hof Christina Hoevehotel
509,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
513,Qujing,CN,72.97,overcast clouds,25.4833,103.7833,Yulong Hotel
514,Palmas Bellas,PA,77.34,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
515,Ambovombe,MG,67.26,overcast clouds,-25.1667,46.0833,RELAHARA
516,Mogadishu,SO,75.07,broken clouds,2.0371,45.3438,Hotel Juba
519,Svidnik,SK,65.03,few clouds,49.3082,21.5703,Country house
520,Savalou,BJ,66.88,overcast clouds,7.9281,1.9756,Hotel F&F
521,New Glasgow,CA,67.78,broken clouds,45.5834,-62.6486,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
525,Alferrarede,PT,67.15,clear sky,39.4833,-8.1667,Hotel Conforto Latino
527,Emet,TR,70.84,clear sky,39.343,29.2585,Emet Thermal Resort Spa
529,Nichinan,JP,85.68,broken clouds,31.6,131.3667,Guest House Aki
530,Broome,US,70.18,clear sky,42.2506,-75.833,Chenango Valley State Park
531,Caravelas,BR,68.68,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
534,Bilibino,RU,70.3,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
535,Sinnamary,GF,76.24,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
537,Marsh Harbour,BS,81.55,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
540,Bandarbeyla,SO,84.69,scattered clouds,9.4942,50.8122,JABIR HOTEL
541,Puerto Narino,CO,71.94,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
542,Chabahar,IR,84.18,broken clouds,25.2919,60.643,هتل گدروشیا
549,North Myrtle Beach,US,82.06,overcast clouds,33.816,-78.68,Avista Resort
551,Jumla,NP,72.7,overcast clouds,29.2747,82.1838,Royal Garden Hotel
552,Lazaro Cardenas,MX,80.58,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
555,Maceio,BR,72.84,mist,-9.6658,-35.7353,Hotel Ponta Verde Maceió
556,Half Moon Bay,US,73.89,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
557,Red Bluff,US,79.48,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
558,Dalby,AU,67.68,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
560,Bafra,TR,81.82,scattered clouds,41.5678,35.9069,Sevgi Otel
561,Yenagoa,NG,73.36,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
562,Galich,RU,69.31,broken clouds,58.3797,42.3475,Galich-Rus'-Otel'
566,Kudahuvadhoo,MV,81.95,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
567,Harper,LR,74.7,overcast clouds,4.375,-7.7169,Screensaver
568,Kerema,PG,82.33,scattered clouds,-7.9631,145.7785,Frena Lodge
570,Mareeba,AU,78.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
571,Santa Cruz,BO,72.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
572,Araceli,PH,83.39,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
574,Itapage,BR,69.69,scattered clouds,-3.6867,-39.5861,Pousada Itajavé
578,Pandan,PH,85.89,overcast clouds,14.0453,124.1694,Bonifacio Lodge
580,Chelno-Vershiny,RU,71.71,few clouds,54.4333,51.1,Zaitkino
581,Sampang,ID,85.66,moderate rain,-7.1872,113.2394,sekretariat IKA STAIN
583,Coahuayana,MX,79.3,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
585,Quatre Cocos,MU,74.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
588,Torbat-E Jam,IR,85.59,clear sky,35.244,60.6225,White building
589,Vao,NC,72.5,light rain,-22.6667,167.4833,Hotel Kou-Bugny
592,Port-Gentil,GA,71.56,broken clouds,-0.7193,8.7815,Fengshui Residence
593,Yekaterinoslavka,RU,80.85,heavy intensity rain,50.3734,129.1139,Oktyabr'skaya
594,Aksu,CN,83.19,clear sky,41.1231,80.2644,Pudong Holiday Hotel
596,Sondrio,IT,71.78,broken clouds,46.169,9.8692,Grand Hotel della Posta
597,Jalu,LY,81.79,clear sky,29.0331,21.5482,صاحبة الفخامة
598,Maitum,PH,82.74,overcast clouds,6.0392,124.4986,Pearl Garden
601,Vuktyl,RU,72.37,broken clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
603,Erbaa,TR,75.29,broken clouds,40.6689,36.5675,Erbaa Öğretmenevi
604,Bitung,ID,85.05,broken clouds,1.4451,125.1824,K2 Lembeh
608,Phonhong,LA,85.46,scattered clouds,18.5007,102.4166,Manyvong Guest House
610,Santo Antonio Do Ica,BR,72.52,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
612,Lakatoro,VU,80.33,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
614,Amahai,ID,79.68,light rain,-3.3333,128.9167,HOTEL ISABELA
615,Bari,IT,80.26,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
616,Cozumel,MX,81.1,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
618,Pendleton,US,85.6,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
619,Polzela,SI,69.89,light rain,46.2833,15.0667,Blue Cottage
620,Colchester,GB,68.34,overcast clouds,51.8892,0.9042,North Hill Hotel
621,Basco,PH,78.37,light rain,20.4487,121.9702,Nathaniel's Lodge
624,Conde,BR,72.86,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
625,Ouesso,CG,72.66,broken clouds,1.6136,16.0517,ABENIE Hotel
627,Chalon-Sur-Saone,FR,66.97,scattered clouds,46.7833,4.85,ibis Chalon-sur-Saône Europe
