,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Otradnoye,RU,59.7775,30.8181,67.03,96,100,8.9,overcast clouds
80,Cockburn Town,TC,21.4612,-71.1419,82.72,74,25,9.33,scattered clouds
81,Port Macquarie,AU,-31.4333,152.9167,65.89,63,3,7.83,clear sky
82,Chuzhou,CN,32.3219,118.2978,94.53,53,0,3.78,clear sky
83,Nokaneng,BW,-19.6667,22.2667,57.09,39,36,10.78,scattered clouds
84,Neuquen,AR,-38.9516,-68.0591,35.49,87,0,4.61,clear sky
85,Chiang Rai,TH,19.9167,99.9167,88.12,82,40,3.44,scattered clouds
86,Ati,TD,13.2154,18.3353,74.35,83,75,5.93,broken clouds
87,Atuona,PF,-9.8,-139.0333,77.45,73,15,16.06,few clouds
88,Sola,VU,-13.8833,167.55,80.69,78,13,17.63,few clouds
89,Port Lincoln,AU,-34.7333,135.8667,52.93,84,100,31.12,overcast clouds
90,Norman Wells,CA,65.282,-126.8329,66.24,45,40,8.05,scattered clouds
91,Vostok,RU,46.4856,135.8833,80.28,51,98,6.4,overcast clouds
92,Finale Ligure,IT,44.1695,8.3436,78.42,69,9,5.01,clear sky
93,Hasaki,JP,35.7333,140.8333,97.2,74,100,11.21,overcast clouds
94,Iquitos,PE,-3.7481,-73.2472,71.64,100,75,0.0,broken clouds
95,Qrendi,MT,35.8347,14.4583,79.11,83,20,1.14,few clouds
96,Port Elizabeth,ZA,-33.918,25.5701,43.09,93,0,2.3,clear sky
97,Adrar,MR,20.5022,-10.0711,84.43,45,45,16.42,scattered clouds
98,Ampanihy,MG,-24.7,44.75,65.08,68,98,13.47,overcast clouds
99,Waipawa,NZ,-41.4122,175.5153,51.78,77,87,19.64,overcast clouds
100,Khorixas,NA,-20.3667,14.9667,38.57,78,0,4.83,clear sky
101,Faanui,PF,-16.4833,-151.75,78.08,73,2,22.37,clear sky
102,Anadyr,RU,64.75,177.4833,66.7,45,0,6.71,clear sky
103,Khani,GE,41.9563,42.9566,71.17,79,51,2.19,broken clouds
104,Vila,PT,42.0304,-8.1588,59.88,57,0,4.03,clear sky
105,Arauca,CO,7.0847,-70.7591,70.57,98,97,3.22,overcast clouds
106,Mizdah,LY,31.4451,12.9801,71.53,79,0,3.24,clear sky
107,Litovko,RU,49.2361,135.1742,84.69,60,6,8.1,clear sky
108,Camacha,PT,33.0833,-16.3333,67.42,73,40,13.8,scattered clouds
109,Kushima,JP,31.4583,131.2333,88.11,67,70,7.81,broken clouds
110,Shiyan,CN,32.6475,110.7781,91.54,57,72,4.18,broken clouds
111,Rawson,AR,-43.3002,-65.1023,42.19,58,15,8.5,few clouds
112,Kallaste,EE,58.655,27.1592,59.23,95,90,11.68,overcast clouds
113,Fortuna,US,40.5982,-124.1573,61.66,86,0,0.0,clear sky
114,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,66.79,64,75,11.18,broken clouds
115,Upernavik,GL,72.7868,-56.1549,45.05,75,100,6.96,overcast clouds
116,Raymond,US,43.9015,-70.4703,68.02,86,19,3.56,few clouds
117,Lerwick,GB,60.1545,-1.1494,57.2,98,100,20.78,moderate rain
118,Mpulungu,ZM,-8.7623,31.1141,69.73,51,0,11.59,clear sky
119,Auki,SB,-8.7676,160.7034,84.92,63,43,6.33,scattered clouds
120,Iqaluit,CA,63.7506,-68.5145,46.13,87,75,1.99,broken clouds
121,Kirundo,BI,-2.5833,30.1667,62.96,84,94,2.28,overcast clouds
122,Vaini,TO,-21.2,-175.2,77.16,100,75,8.05,broken clouds
123,Roma,US,43.2128,-75.4557,73.87,81,52,3.87,broken clouds
124,Saskylakh,RU,71.9167,114.0833,46.11,61,100,11.45,overcast clouds
125,Daniel Flores,CR,9.3355,-83.6694,70.7,93,99,0.69,overcast clouds
126,Zhigansk,RU,66.7697,123.3711,61.99,49,80,20.92,broken clouds
127,Kapaa,US,22.0752,-159.319,84.18,78,40,23.02,scattered clouds
128,Shenjiamen,CN,29.9576,122.298,84.54,80,95,15.08,overcast clouds
129,Rio Gallegos,AR,-51.6226,-69.2181,39.25,60,0,6.91,clear sky
130,Te Anau,NZ,-45.4167,167.7167,48.43,90,90,9.19,light rain
131,Kourou,GF,5.1552,-52.6478,79.11,91,87,5.48,overcast clouds
132,Kumluca,TR,36.3703,30.2869,87.48,52,0,2.86,clear sky
133,General Roca,AR,-39.0333,-67.5833,48.25,51,0,6.64,clear sky
134,Oktyabrskoye,RU,43.0645,44.7417,73.54,60,20,4.47,few clouds
135,Avarua,CK,-21.2078,-159.775,75.25,60,75,4.61,broken clouds
136,Ahipara,NZ,-35.1667,173.1667,55.26,78,100,6.46,overcast clouds
137,Quelimane,MZ,-17.8786,36.8883,67.95,94,75,3.44,broken clouds
138,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,75,2.3,broken clouds
139,Maniitsoq,GL,65.4167,-52.9,44.89,86,100,10.78,light rain
140,Havre-Saint-Pierre,CA,50.2334,-63.5986,64.76,94,100,9.22,overcast clouds
141,Victoria,HK,22.2855,114.1577,95.05,73,72,5.01,broken clouds
142,Jamame,SO,0.0722,42.7506,78.78,70,28,14.81,scattered clouds
143,Klaksvik,FO,62.2266,-6.589,50.92,93,100,10.16,overcast clouds
144,Eldorado,BR,-23.7869,-54.2836,62.44,71,1,5.17,clear sky
145,Altay,CN,47.8667,88.1167,81.91,25,49,13.02,scattered clouds
146,Jhalawar,IN,24.6,76.15,87.8,62,94,6.53,overcast clouds
147,Carutapera,BR,-1.195,-46.02,75.52,94,75,7.38,broken clouds
148,Bengkulu,ID,-3.8004,102.2655,83.14,72,81,6.42,broken clouds
149,Mahebourg,MU,-20.4081,57.7,74.25,78,75,2.3,broken clouds
150,Kruisfontein,ZA,-34.0033,24.7314,52.48,45,90,5.59,overcast clouds
151,Meresti,RO,46.2333,25.45,60.58,87,63,2.91,broken clouds
152,Altamira,BR,-3.2033,-52.2064,70.61,99,21,2.77,few clouds
153,Saint-Philippe,RE,-21.3585,55.7679,75.22,72,0,5.73,clear sky
154,Lexington Park,US,38.2668,-76.4538,80.65,93,0,6.91,clear sky
155,Nordhausen,DE,51.5167,10.8,62.78,98,66,1.39,broken clouds
156,Yerbogachen,RU,61.2767,108.0108,79.77,49,76,8.68,broken clouds
157,Kahului,US,20.8947,-156.47,78.84,70,40,13.8,scattered clouds
158,Sao Filipe,CV,14.8961,-24.4956,75.65,84,63,5.7,light rain
159,Kloulklubed,PW,7.0419,134.2556,82.9,77,97,11.32,overcast clouds
160,Pangai,TO,-19.8,-174.35,78.91,83,20,13.8,few clouds
161,Waverly,US,42.7392,-84.6208,69.96,83,0,6.91,clear sky
162,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,86,15,2.33,few clouds
163,Pevek,RU,69.7008,170.3133,48.76,65,100,12.17,overcast clouds
164,Trofors,NO,65.5333,13.4063,48.07,87,99,2.8,overcast clouds
165,Macheng,CN,31.1783,115.0319,95.63,50,0,4.14,clear sky
166,Recas,RO,45.7989,21.5008,69.82,83,0,1.14,clear sky
167,Sorland,NO,67.667,12.6934,51.44,74,100,9.44,overcast clouds
168,Takoradi,GH,4.8845,-1.7554,72.32,82,48,7.67,scattered clouds
169,Manakara,MG,-22.1333,48.0167,69.73,82,73,8.23,light rain
170,Vyshestebliyevskaya,RU,45.1961,37.0181,81.01,64,1,4.9,clear sky
171,Cape Town,ZA,-33.9258,18.4232,53.38,78,0,13.0,clear sky
172,Tessalit,ML,20.1986,1.0114,86.47,45,6,20.47,clear sky
173,Sayyan,YE,15.1718,44.3244,62.44,56,42,3.6,scattered clouds
174,Camopi,GF,3.1655,-52.3158,70.43,99,53,1.92,broken clouds
175,Paramonga,PE,-10.6667,-77.8333,61.68,86,77,6.96,broken clouds
176,Port Augusta,AU,-32.5,137.7667,58.28,55,95,27.78,overcast clouds
177,Bereda,ES,43.2686,-7.5406,64.58,100,67,3.8,broken clouds
178,Saku,JP,36.2167,138.4833,92.08,66,76,4.74,broken clouds
179,Katobu,ID,-4.9408,122.5276,84.42,63,92,8.88,overcast clouds
180,Groton,US,41.3501,-72.0784,71.78,82,100,4.61,overcast clouds
181,Yeppoon,AU,-23.1333,150.7333,73.18,79,69,6.76,broken clouds
182,Flin Flon,CA,54.7682,-101.865,55.71,76,89,5.06,overcast clouds
183,Balikpapan,ID,-1.2675,116.8289,81.59,83,40,2.3,scattered clouds
184,Camana,PE,-16.6228,-72.7111,57.99,81,52,4.76,broken clouds
185,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,82,75,11.5,broken clouds
186,Nicoya,CR,10.1483,-85.452,74.79,90,100,1.28,overcast clouds
187,Veraval,IN,20.9,70.3667,84.65,73,97,14.14,overcast clouds
188,Jizan,SA,17.3333,42.6667,85.14,60,100,6.33,overcast clouds
189,Liverpool,GB,53.4106,-2.9779,67.6,93,75,9.22,heavy intensity rain
190,Gwanda,ZW,-20.9333,29.0,57.25,77,85,12.1,overcast clouds
191,Urucara,BR,-2.5364,-57.76,72.37,98,67,1.88,broken clouds
192,Acajutla,SV,13.5928,-89.8275,78.87,79,79,5.57,light rain
193,San Ramon,US,37.7799,-121.978,74.82,60,0,0.0,clear sky
194,Saint George,US,37.1041,-113.5841,89.64,42,0,1.99,clear sky
195,Katsuura,JP,35.1333,140.3,86.77,74,97,15.82,overcast clouds
196,Severo-Kurilsk,RU,50.6789,156.125,55.65,81,25,5.79,scattered clouds
197,Khatanga,RU,71.9667,102.5,50.49,60,100,9.53,overcast clouds
198,Imbituba,BR,-28.24,-48.6703,61.86,99,8,2.48,clear sky
199,Sabancuy,MX,18.9667,-91.1833,77.0,87,91,6.49,overcast clouds
200,Hvide Sande,DK,56.0045,8.1294,52.09,87,0,5.75,clear sky
201,Namatanai,PG,-3.6667,152.4333,82.26,74,94,11.9,overcast clouds
202,Tuatapere,NZ,-46.1333,167.6833,49.75,87,68,11.52,light rain
203,Ponta Do Sol,PT,32.6667,-17.1,70.0,76,6,6.24,clear sky
204,Beringovskiy,RU,63.05,179.3167,54.48,72,13,5.59,few clouds
205,Mahon,ES,39.8885,4.2658,73.96,56,0,4.61,clear sky
206,Eureka,US,40.8021,-124.1637,61.93,85,70,3.65,broken clouds
207,Umm Kaddadah,SD,13.6017,26.6876,76.55,67,27,11.59,scattered clouds
208,Berdigestyakh,RU,62.0989,126.6992,69.19,83,100,3.33,light rain
209,Barrow,US,71.2906,-156.7887,41.02,87,100,12.66,overcast clouds
210,Ferrol,ES,43.4832,-8.2369,64.92,95,1,6.31,clear sky
211,Nelson Bay,AU,-32.7167,152.15,67.08,41,0,5.01,clear sky
212,Cacequi,BR,-29.8836,-54.825,52.93,93,79,7.58,broken clouds
213,Lorengau,PG,-2.0226,147.2712,83.08,77,48,10.65,scattered clouds
214,Aranda De Duero,ES,41.6704,-3.6892,70.21,48,0,7.16,clear sky
215,Isla Mujeres,MX,21.2311,-86.731,84.16,85,38,8.08,scattered clouds
216,Egvekinot,RU,66.3167,-179.1667,54.57,55,11,4.5,few clouds
217,Yumen,CN,40.2833,97.2,82.0,35,69,17.49,broken clouds
218,Onega,RU,63.9061,38.1404,63.68,70,75,9.46,broken clouds
219,Billings,US,45.7833,-108.5007,89.37,30,75,10.36,broken clouds
220,Charters Towers,AU,-20.1,146.2667,79.3,45,63,10.71,broken clouds
221,Bud,US,39.447,-86.1758,75.22,88,4,5.64,clear sky
222,Mingoyo,TZ,-10.1,39.6333,77.0,61,5,8.03,clear sky
223,Yulara,AU,-25.2406,130.9889,78.64,19,75,28.77,broken clouds
224,Bang Sai,TH,14.2124,100.4966,89.98,67,86,11.25,overcast clouds
225,Colwyn Bay,GB,53.2948,-3.7267,67.75,40,100,11.99,moderate rain
226,Nador,MA,35.174,-2.9287,79.05,83,40,4.61,scattered clouds
227,Shintomi,JP,32.0785,131.4723,85.32,73,62,10.0,broken clouds
228,Jaru,BR,-10.4389,-62.4664,74.08,45,74,0.22,broken clouds
229,Juneau,US,58.3019,-134.4197,59.22,98,100,8.05,moderate rain
230,Shizunai,JP,42.3339,142.3669,71.13,90,97,2.98,overcast clouds
231,Jaslo,PL,49.7451,21.4725,64.0,68,45,8.32,scattered clouds
232,San Cristobal,VE,7.7669,-72.225,69.98,94,100,3.6,overcast clouds
233,El Dorado,US,38.7666,-120.5177,73.98,58,28,1.99,scattered clouds
234,Malibu,US,34.005,-118.8101,79.23,76,95,4.38,overcast clouds
235,Dunedin,NZ,-45.8742,170.5036,52.52,55,40,10.51,scattered clouds
236,Yuancheng,CN,36.652,107.7896,86.25,42,21,13.06,few clouds
237,Zatoka,UA,46.0725,30.4654,72.55,68,0,17.18,clear sky
238,Gazojak,TM,41.1875,61.4036,89.74,25,42,9.19,scattered clouds
239,Sistranda,NO,63.7256,8.834,49.96,70,78,7.34,broken clouds
240,Tarakan,ID,3.3,117.6333,87.3,70,40,6.91,scattered clouds
241,Gat,IL,31.61,34.7642,81.28,100,6,5.57,clear sky
242,Bathsheba,BB,13.2167,-59.5167,81.21,89,20,18.41,few clouds
243,Sandy Bay,AU,-42.913,147.3532,56.3,57,52,3.0,broken clouds
244,Sovetskiy,RU,61.3614,63.5842,73.31,33,31,3.33,scattered clouds
245,Portland,US,45.5234,-122.6762,75.88,68,20,5.75,few clouds
246,Soyo,AO,-6.1349,12.3689,68.27,89,39,9.31,scattered clouds
247,Gunjur,GM,13.2019,-16.7339,73.47,100,40,0.0,scattered clouds
248,Elizabeth City,US,36.2946,-76.2511,78.03,95,0,9.22,clear sky
249,Santa Adelia,BR,-21.2428,-48.8042,61.95,46,15,6.85,few clouds
250,Chara,RU,56.9064,118.2631,76.6,45,32,2.3,scattered clouds
251,Sehithwa,BW,-20.4667,22.7167,61.27,46,19,14.94,few clouds
252,Taoudenni,ML,22.6783,-3.9836,93.87,11,2,6.29,clear sky
253,Sechura,PE,-5.5569,-80.8222,62.74,88,18,8.59,few clouds
254,Ilinskiy,RU,55.619,38.1182,64.74,68,0,4.47,clear sky
255,Rantepao,ID,-2.9701,119.8978,75.43,89,82,3.4,broken clouds
256,Sulina,RO,45.1559,29.6536,72.19,68,0,15.23,clear sky
257,Addanki,IN,15.8167,79.9833,92.98,51,98,4.74,overcast clouds
258,Tatarskaya Kargala,RU,51.9495,55.1731,73.42,51,4,9.31,clear sky
259,Hangu,CN,39.2489,117.7892,95.04,60,1,12.3,clear sky
260,Lebu,CL,-37.6167,-73.65,44.89,85,4,12.1,clear sky
261,Atambua,ID,-9.1061,124.8925,83.05,52,70,1.34,broken clouds
262,Emba,KZ,48.8264,58.1442,77.95,43,97,4.52,overcast clouds
263,Carnarvon,AU,-24.8667,113.6333,68.07,52,93,17.02,overcast clouds
264,Palmer,US,42.1584,-72.3287,69.51,87,100,5.75,overcast clouds
265,Tieling,CN,42.2931,123.8414,89.73,66,33,3.22,scattered clouds
266,Batemans Bay,AU,-35.7167,150.1833,60.1,50,4,7.36,clear sky
267,Isla Vista,US,34.4133,-119.861,77.92,71,0,5.75,clear sky
268,Saint-Francois,FR,46.4154,3.9054,59.68,100,0,3.44,clear sky
269,Yanam,IN,16.7333,82.2167,92.52,56,100,6.29,overcast clouds
270,Bandundu,CD,-3.3167,17.3667,78.76,49,57,1.28,broken clouds
271,Waingapu,ID,-9.6567,120.2641,84.4,64,94,14.43,overcast clouds
272,Varginha,BR,-21.5514,-45.4303,57.63,59,17,4.12,few clouds
273,Sorong,ID,-0.8833,131.25,82.26,75,99,5.1,overcast clouds
274,Ostrovnoy,RU,68.0531,39.5131,56.43,89,100,13.24,light rain
275,Banda Aceh,ID,5.5577,95.3222,78.53,85,100,14.41,light rain
276,Tawau,MY,4.2498,117.8871,87.93,66,90,8.01,overcast clouds
277,Cidreira,BR,-30.1811,-50.2056,55.94,88,65,1.68,broken clouds
278,Cabo San Lucas,MX,22.8909,-109.9124,84.61,77,86,9.19,overcast clouds
279,Depok,ID,-6.4,106.8186,95.2,47,44,6.53,scattered clouds
280,Killybegs,IE,54.6333,-8.45,62.31,96,100,16.31,overcast clouds
281,Bonthe,SL,7.5264,-12.505,75.63,86,100,11.63,moderate rain
282,Deputatskiy,RU,69.3,139.9,47.77,95,100,3.71,light rain
283,Kalmunai,LK,7.4167,81.8167,82.08,67,100,4.92,overcast clouds
284,Matera,IT,40.5,16.4167,74.95,37,0,10.16,clear sky
285,Kununurra,AU,-15.7667,128.7333,93.18,26,2,9.22,clear sky
286,Lata,PT,40.1629,-8.3327,64.44,77,0,1.74,clear sky
287,Qaqortoq,GL,60.7167,-46.0333,45.45,76,100,3.09,overcast clouds
288,Phillipsburg,US,40.6937,-75.1902,71.17,90,25,3.02,scattered clouds
289,Lagoa,PT,39.05,-27.9833,73.35,74,43,13.09,scattered clouds
290,Biga,TR,40.2281,27.2422,80.15,47,0,10.25,clear sky
291,Kysyl-Syr,RU,63.8986,122.7617,74.8,58,94,8.77,overcast clouds
292,Husavik,IS,66.0449,-17.3389,43.92,92,100,7.02,overcast clouds
293,La Esperanza,GT,14.8667,-91.5667,54.07,96,49,6.44,scattered clouds
294,Tsuruoka,JP,38.7217,139.8217,86.04,79,75,12.66,broken clouds
295,Narsaq,GL,60.9167,-46.05,46.62,74,100,1.45,overcast clouds
296,Biak,ID,-0.9131,122.8766,81.07,76,98,5.91,overcast clouds
297,Kondinskoye,RU,59.6481,67.41,69.75,44,2,8.61,clear sky
298,Inhuma,BR,-6.6683,-41.7078,69.48,58,4,10.0,clear sky
299,Wahiawa,US,21.5028,-158.0236,75.52,66,40,12.66,scattered clouds
300,Markova,UA,48.6758,24.4138,65.95,65,68,5.7,broken clouds
301,Sept-Iles,CA,50.2001,-66.3821,63.12,92,75,5.75,broken clouds
302,Vicksburg,US,32.3526,-90.8779,74.93,97,0,0.0,clear sky
303,Torbay,CA,47.6666,-52.7314,67.57,80,75,11.5,broken clouds
304,Senneterre,CA,48.3835,-77.2328,56.25,98,99,9.66,overcast clouds
305,Angoche,MZ,-16.2325,39.9086,76.15,74,69,11.81,broken clouds
306,Alice Springs,AU,-23.7,133.8833,80.15,19,40,19.57,scattered clouds
307,Sapele,NG,5.8941,5.6767,72.34,94,99,2.71,overcast clouds
308,Bay Roberts,CA,47.5999,-53.2648,68.32,92,99,1.99,overcast clouds
309,San Pedro,PH,14.35,121.0167,87.35,72,75,6.91,broken clouds
310,Wonthaggi,AU,-38.6044,145.5913,58.82,61,91,17.67,overcast clouds
311,Natalio,PY,-26.7167,-55.0833,58.3,87,19,2.71,few clouds
312,Itarema,BR,-2.9248,-39.9167,77.86,80,61,14.9,broken clouds
313,Cabadiangan,PH,9.7531,122.4739,86.65,69,98,0.94,overcast clouds
314,Dicabisagan,PH,17.0818,122.4157,84.38,74,100,6.78,overcast clouds
315,Codrington,AU,-38.2667,141.9667,56.28,53,100,22.75,overcast clouds
316,Souillac,MU,-20.5167,57.5167,71.98,78,75,2.3,broken clouds
317,Kaitangata,NZ,-46.2817,169.8464,52.45,62,12,12.37,few clouds
318,Sinjar,IQ,36.3209,41.8754,100.4,13,0,5.26,clear sky
319,Montepuez,MZ,-13.1256,38.9997,70.18,64,3,10.58,clear sky
320,Vung Tau,VN,10.346,107.0843,82.71,76,100,7.36,overcast clouds
321,Prainha,BR,-1.8,-53.48,71.78,97,19,2.91,few clouds
322,Aklavik,CA,68.2191,-135.0107,56.34,66,100,12.1,overcast clouds
323,Columbus,US,39.9612,-82.9988,74.8,92,20,6.91,few clouds
324,Tinskoy,RU,56.1525,96.9161,67.46,65,100,6.69,overcast clouds
325,College,US,64.8569,-147.8028,60.75,89,75,6.91,moderate rain
326,Tetouan,MA,35.5711,-5.3724,75.97,78,100,8.05,overcast clouds
327,Peniche,PT,39.3558,-9.3811,67.28,96,2,5.68,clear sky
328,Paka,MY,4.6374,103.4368,89.53,66,40,4.61,scattered clouds
329,Rundu,NA,-17.9333,19.7667,55.18,31,34,3.76,scattered clouds
330,Vanimo,PG,-2.6741,141.3028,85.12,70,92,10.09,overcast clouds
331,Abalak,RU,58.1286,68.5944,68.94,43,0,8.21,clear sky
332,Ughelli,NG,5.4899,6.0074,73.17,89,99,2.59,overcast clouds
333,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.93,91,20,12.15,few clouds
334,Hervey Bay,AU,-25.2986,152.8535,72.01,69,56,4.0,broken clouds
335,Okhotsk,RU,59.3833,143.3,62.6,76,73,4.76,broken clouds
336,Danielskuil,ZA,-28.1887,23.5395,47.05,86,7,13.6,clear sky
337,Grants,US,35.1473,-107.8514,66.43,68,53,0.0,broken clouds
338,Amontada,BR,-3.3617,-39.8317,73.44,88,45,5.66,scattered clouds
339,Pierre,US,44.3683,-100.351,83.32,65,0,16.11,clear sky
340,Zhoucheng,CN,35.9122,116.3117,92.97,55,39,5.06,scattered clouds
341,Hovd,MN,48.0056,91.6419,78.49,18,100,1.48,overcast clouds
342,Saint-Louis,SN,16.3333,-15.0,80.24,69,89,11.3,light rain
343,Xinzhi,CN,36.4989,111.7047,95.31,33,1,9.98,clear sky
344,Haines Junction,CA,60.7522,-137.5108,57.15,62,100,5.75,overcast clouds
345,Paita,PE,-5.0892,-81.1144,62.83,90,13,8.99,few clouds
346,Asau,RO,46.4333,26.4,65.32,80,64,2.53,broken clouds
347,Flinders,AU,-34.5833,150.8552,70.18,51,0,3.0,clear sky
348,Tianpeng,CN,30.9866,103.9393,84.67,73,89,3.76,overcast clouds
349,Bafoulabe,ML,13.8065,-10.8321,73.09,94,100,3.83,overcast clouds
